EventType,StartFrame,EndFrame
GazeShift,143,168
GazeShift,177,211
GazeShift,223,235
GazeShift,237,244
GazeShift,265,283
GazeShift,306,325
GazeShift,383,394
GazeShift,410,448
GazeShift,544,561
GazeShift,562,579
GazeShift,592,611
GazeShift,626,658
GazeShift,671,683
GazeShift,707,719
GazeShift,734,750
GazeShift,769,780
GazeShift,816,829
GazeShift,834,844
GazeShift,871,887
GazeShift,895,914
GazeShift,925,938
GazeShift,1015,1039
GazeShift,1050,1057
GazeShift,1081,1086
GazeShift,1096,1104
GazeShift,1127,1146
GazeShift,1182,1194
GazeShift,1230,1246
GazeShift,1263,1287
GazeShift,1309,1323
