Character,AnimationClip,StartFrame,FixationStartFrame,EndFrame,Target,HeadAlign,TorsoAlign
Norman,WindowWashingAGaze1,1,18,43,WindowUpperRight,0.4358386,0.7410647
Norman,WindowWashingAGaze2,44,16,90,WindowUpperLeft1,0.3958264,0.2312393
Norman,WindowWashingAGaze3,91,11,102,WindowCenterLeft,1,0.2124469
Norman,WindowWashingAGaze4,103,19,132,WindowCenterRight1,1,1
Norman,WindowWashingAGaze5,133,13,164,WindowLowerRight1,1,1
Norman,WindowWashingAGaze6,165,18,188,WindowCenter,0.921788,0.3358363
Norman,WindowWashingAGaze7,189,16,209,WindowLowerLeft,1,0.4425238
Norman,WindowWashingAGaze8,210,21,236,AboveBucket,0.9160862,1
Norman,WindowWashingAGaze9,237,11,248,WindowUpperCenter,0.665365,0.2160616
Norman,WindowWashingAGaze10,249,21,271,WindowUpperRight,0.8678699,0.971598
Norman,WindowWashingAGaze11,272,20,307,WindowUpperLeft1,0.5266814,0.07720569
Norman,WindowWashingAGaze12,308,20,343,WindowUpperRight,1,1
Norman,WindowWashingAGaze13,344,22,381,WindowUpperLeft2,0.8111625,0.1257707
Norman,WindowWashingAGaze16,382,19,431,WindowUpperRight,0.5855713,0.3489684
Norman,WindowWashingAGaze17,432,22,469,WindowUpperLeft2,0.8612105,0.1358477
Norman,WindowWashingAGaze18,470,21,498,WindowCenterRight2,1,1
Norman,WindowWashingAGaze19,499,16,515,WindowCenter,1,0.3895906
Norman,WindowWashingAGaze20,516,17,533,AboveBucket,1,1
Norman,WindowWashingAGaze21,534,15,549,WindowCenter,0.4144328,0.5269682
Norman,WindowWashingAGaze22,550,21,584,WindowCenterRight1,0.797101,1
Norman,WindowWashingAGaze23,585,22,607,WindowLowerLeft,1,0.3621134
Norman,WindowWashingAGaze24,608,19,634,WindowLowerRight2,1,1
Norman,WindowWashingAGaze25,635,22,666,WindowLowerLeft,1,0.8200388
Norman,WindowWashingAGaze27,667,19,689,WindowCenter,0.8680735,0.6929035
Norman,WindowWashingAGaze28,690,12,702,WindowUpperCenter,1,0.154456
