vRoot,aRoot,p0Root,pRoot,wRoot,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
0,2599.427,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN
