keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#srfBind_Cn_Pelvis,keyFrameIndexBone#srfBind_Cn_SpineA,keyFrameIndexBone#srfBind_Cn_SpineB,keyFrameIndexBone#srfBind_Cn_SpineC,keyFrameIndexBone#srfBind_Cn_Neck,keyFrameIndexBone#srfBind_Cn_Head
3,3,5,1,3,3,3,3
17,17,17,17,17,17,17,17
24,24,24,23,24,24,24,26
33,33,33,34,33,33,37,33
48,48,50,51,50,50,52,47
57,57,57,57,55,55,57,58
67,67,66,71,71,71,67,63
85,85,84,85,86,86,83,85
93,93,93,93,92,92,93,93
98,98,98,99,98,98,96,98
103,103,103,103,102,102,105,103
112,112,112,112,111,111,112,112
117,117,121,120,117,117,117,116
130,130,129,130,128,128,130,130
140,140,138,140,140,140,143,140
146,146,146,146,146,146,143,146
160,160,160,160,160,160,160,160
166,166,165,165,165,165,166,166
170,170,171,172,174,174,170,170
179,179,179,180,179,179,179,179
188,188,188,188,189,189,187,191
194,194,194,196,195,195,194,191
198,198,200,196,199,199,197,199
212,212,213,214,211,211,211,212
219,219,219,219,219,219,219,219
225,225,225,226,226,226,224,225
236,236,236,236,236,236,233,236
242,242,242,243,242,242,242,240
248,248,248,249,248,248,248,248
259,259,262,259,260,260,259,255
265,265,262,265,265,265,265,265
275,275,274,274,275,275,275,275
281,281,280,281,281,281,281,281
