keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head
6,6,8,6,6,6,6,6
21,21,18,21,20,20,23,23
32,32,29,31,33,33,36,36
55,55,55,56,53,53,58,58
69,69,71,67,69,69,70,69
109,109,109,109,107,108,109,109
119,119,117,120,119,119,119,119
130,130,128,130,130,130,130,130
151,151,152,151,150,149,155,155
161,161,161,163,161,161,161,161
168,168,165,168,168,168,168,168
182,182,185,186,182,181,181,181
194,194,192,194,195,196,194,194
214,214,210,214,213,212,216,216
233,233,234,232,234,234,233,233
243,243,243,242,244,244,243,243
258,258,261,258,257,257,258,258
267,267,267,264,267,267,267,268
285,285,285,285,282,282,284,284
290,290,290,289,291,291,291,291
302,302,302,300,302,302,302,302
311,311,309,311,311,311,311,311
319,319,319,319,319,319,322,322
332,332,333,332,333,333,332,332
342,342,343,342,342,342,341,341
354,354,354,354,358,357,354,353
372,372,373,372,373,372,372,372
393,393,396,393,394,394,391,391
416,416,418,416,415,415,416,416
432,432,436,431,432,432,432,431
459,459,459,459,459,459,458,459
476,476,474,476,477,476,477,477
486,486,486,485,484,484,489,489
504,504,504,505,505,505,504,504
520,520,520,521,520,520,520,520
533,533,533,533,530,530,532,532
558,558,556,556,559,558,559,559
580,580,578,582,580,580,583,583
593,593,590,594,593,593,594,594
602,602,599,604,604,604,601,601
616,616,613,614,616,616,615,615
626,626,622,625,627,627,625,625
645,645,645,643,641,641,646,646
654,654,654,652,654,654,652,652
662,662,662,662,662,662,661,661
675,675,678,678,675,675,675,675
695,695,691,696,696,696,692,692
710,710,710,710,711,711,710,710
719,719,719,719,720,720,717,717
747,747,744,749,746,746,745,745
761,761,761,763,762,762,761,757
779,779,779,778,778,778,780,780
824,824,825,823,824,824,824,824
834,834,834,834,835,835,834,834
848,848,851,849,850,850,847,847
858,858,858,861,858,858,857,857
869,869,869,871,871,871,867,867
882,882,882,881,879,879,883,883
896,896,896,897,899,899,895,895
908,908,908,908,906,906,907,907
925,925,921,924,926,927,925,925
936,936,936,934,936,936,935,935
947,947,947,946,947,947,948,948
960,960,959,959,959,959,963,963
979,979,982,979,983,983,978,978
1006,1006,1008,1003,1004,1004,1004,1004
1017,1017,1017,1017,1016,1016,1017,1017
1031,1031,1027,1031,1031,1031,1031,1031
1043,1043,1043,1042,1042,1042,1044,1044
1059,1059,1059,1059,1058,1059,1060,1060
1076,1076,1076,1076,1076,1076,1078,1078
1113,1113,1115,1113,1113,1113,1112,1112
1122,1122,1119,1121,1123,1123,1122,1122
1132,1132,1128,1135,1133,1133,1136,1132
1141,1141,1142,1143,1141,1141,1141,1137
1151,1151,1151,1151,1151,1151,1152,1153
