Roman,PassSodaBGaze1,7,18,NormanFace,-1,-1
Norman,PassSodaAGaze1,38,46,RomanFace,-1,-1
Norman,PassSodaAGaze2,57,64,SodaBottle,-1,-1
Roman,PassSodaBGaze2,60,67,SodaBottle,-1,-1
Norman,PassSodaAGaze3,69,77,NormanetteFace,-1,-1
Roman,PassSodaBGaze3,87,96,NormanetteBack,-1,-1
Norman,PassSodaAGaze4,95,106,RomanFace,-1,-1
Roman,PassSodaBGaze4,104,113,SodaBottle,-1,-1
Roman,PassSodaBGaze5,117,132,SodaBottle,-1,-1
Norman,PassSodaAGaze5,125,137,SodaBottle,-1,-1
Norman,PassSodaAGaze6,152,161,NormanetteBack,-1,-1
Norman,PassSodaAGaze7,177,190,SodaBottle,-1,-1
Roman,PassSodaBGaze6,188,197,SodaBottle,-1,-1
Norman,PassSodaAGaze8,195,206,RomanFace,-1,-1
Roman,PassSodaBGaze7,204,212,NormanFace,-1,-1







